コード	都道府県	市区町村	緯度	経度
063223	山形県	西村山郡	西川町	38.426499	140.147347
063231	山形県	西村山郡	朝日町	38.299248	140.145926
063240	山形県	西村山郡	大江町	38.380648	140.207013
063410	山形県	北村山郡	大石田町	38.593863	140.372680
063614	山形県	最上郡	金山町	38.883357	140.339456
063622	山形県	最上郡	最上町	38.758387	140.519354
063631	山形県	最上郡	舟形町	38.691444	140.319776
063649	山形県	最上郡	真室川町	38.857859	140.252301
063657	山形県	最上郡	大蔵村	38.704182	140.230374
063665	山形県	最上郡	鮭川村	38.796457	140.222052
063673	山形県	最上郡	戸沢村	38.737473	140.143804
063819	山形県	東置賜郡	高畠町	38.002736	140.189160
063827	山形県	東置賜郡	川西町	38.004479	140.045790
064017	山形県	西置賜郡	小国町	38.061627	139.743364
064025	山形県	西置賜郡	白鷹町	38.183095	140.098438
064033	山形県	西置賜郡	飯豊町	38.045827	139.987529
064262	山形県	東田川郡	三川町	38.794487	139.849696
064289	山形県	東田川郡	庄内町	38.849915	139.904745
064611	山形県	飽海郡	遊佐町	39.014616	139.907352
072010	福島県	福島市		37.760834	140.474728
072028	福島県	会津若松市		37.494761	139.929810
072036	福島県	郡山市		37.400529	140.359742
072044	福島県	いわき市		37.050420	140.887682
072052	福島県	白河市		37.126362	140.210943
072079	福島県	須賀川市		37.292893	140.356975
072087	福島県	喜多方市		37.651355	139.874609
072095	福島県	相馬市		37.796624	140.919470
072109	福島県	二本松市		37.584858	140.431129
072117	福島県	田村市		37.440550	140.576422
072125	福島県	南相馬市		37.642161	140.957276
072133	福島県	伊達市		37.819138	140.562908
072141	福島県	本宮市		37.513131	140.393890
073016	福島県	伊達郡	桑折町	37.849537	140.516352
073032	福島県	伊達郡	国見町	37.837000	140.549185
073083	福島県	伊達郡	川俣町	37.663922	140.597333
073229	福島県	安達郡	大玉村	37.534392	140.371189
073423	福島県	岩瀬郡	鏡石町	37.252830	140.343408
073440	福島県	岩瀬郡	天栄村	37.255606	140.247074
073628	福島県	南会津郡	下郷町	37.255580	139.872128
073644	福島県	南会津郡	檜枝岐村	37.024146	139.388945
073679	福島県	南会津郡	只見町	37.348801	139.316091
073687	福島県	南会津郡	南会津町	37.200395	139.773199
074021	福島県	耶麻郡	北塩原村	37.655715	139.937374
074055	福島県	耶麻郡	西会津町	37.588798	139.647495
074071	福島県	耶麻郡	磐梯町	37.562115	139.988780
074080	福島県	耶麻郡	猪苗代町	37.557768	140.104761
074217	福島県	河沼郡	会津坂下町	37.561481	139.821643
074225	福島県	河沼郡	湯川村	37.565299	139.886778
074233	福島県	河沼郡	柳津町	37.526160	139.719542
074446	福島県	大沼郡	三島町	37.470369	139.644447
074454	福島県	大沼郡	金山町	37.453851	139.524298
074462	福島県	大沼郡	昭和村	37.335416	139.610660
074471	福島県	大沼郡	会津美里町	37.459854	139.841178
074616	福島県	西白河郡	西郷村	37.141696	140.155364
074641	福島県	西白河郡	泉崎村	37.157052	140.295252
074659	福島県	西白河郡	中島村	37.148757	140.350204
074667	福島県	西白河郡	矢吹町	37.201278	140.338608
074811	福島県	東白川郡	棚倉町	37.029905	140.379648
074829	福島県	東白川郡	矢祭町	36.871403	140.424783
074837	福島県	東白川郡	塙町	36.957437	140.409573
074845	福島県	東白川郡	鮫川村	37.042327	140.509669
075019	福島県	石川郡	石川町	37.144330	140.452351
075027	福島県	石川郡	玉川村	37.210706	140.409038
075035	福島県	石川郡	平田村	37.221786	140.575876
075043	福島県	石川郡	浅川町	37.080995	140.412809
075051	福島県	石川郡	古殿町	37.089093	140.555649
075213	福島県	田村郡	三春町	37.441048	140.492569
075221	福島県	田村郡	小野町	37.286823	140.626277
075418	福島県	双葉郡	広野町	37.214559	140.994458
075426	福島県	双葉郡	楢葉町	37.282500	140.993611
075434	福島県	双葉郡	富岡町	37.333056	141.016944
075442	福島県	双葉郡	川内村	37.337691	140.809345
075451	福島県	双葉郡	大熊町	37.404444	140.983611
075469	福島県	双葉郡	双葉町	37.449167	141.012500
075477	福島県	双葉郡	浪江町	37.483333	141.000000
075485	福島県	双葉郡	葛尾村	37.503611	140.764444
075612	福島県	相馬郡	新地町	37.876357	140.919599
075647	福島県	相馬郡	飯舘村	37.679190	140.735247
082015	茨城県	水戸市		36.366503	140.470996
082023	茨城県	日立市		36.599154	140.651469
082031	茨城県	土浦市		36.078297	140.204333
082040	茨城県	古河市		36.184645	139.702525
082058	茨城県	石岡市		36.190048	140.287556
082074	茨城県	結城市		36.305417	139.876641
082082	茨城県	龍ヶ崎市		35.911594	140.182264
082104	茨城県	下妻市		36.184514	139.967374
082112	茨城県	常総市		36.023494	139.993617
082121	茨城県	常陸太田市		36.538275	140.530950
082147	茨城県	高萩市		36.719147	140.716688
082155	茨城県	北茨城市		36.801911	140.750979
082163	茨城県	笠間市		36.345300	140.304354
082171	茨城県	取手市		35.911442	140.050468
082198	茨城県	牛久市		35.979375	140.149524
082201	茨城県	つくば市		36.083486	140.076642
082210	茨城県	ひたちなか市		36.396615	140.534676
082228	茨城県	鹿嶋市		35.965756	140.644813
082236	茨城県	潮来市		35.947123	140.555372
082244	茨城県	守谷市		35.951421	139.975391
082252	茨城県	常陸大宮市		36.542577	140.410890
082261	茨城県	那珂市		36.457469	140.486854
082279	茨城県	筑西市		36.307053	139.983123
082287	茨城県	坂東市		36.048738	139.888320
082295	茨城県	稲敷市		35.956492	140.323908
082309	茨城県	かすみがうら市		36.094529	140.330691
082317	茨城県	桜川市		36.327250	140.090433
082325	茨城県	神栖市		35.889966	140.664513
082333	茨城県	行方市		35.990416	140.489025
082341	茨城県	鉾田市		36.158640	140.516461
082350	茨城県	つくばみらい市		35.963024	140.037020
082368	茨城県	小美玉市		36.239345	140.352576
083020	茨城県	東茨城郡	茨城町	36.286921	140.424514
083097	茨城県	東茨城郡	大洗町	36.313443	140.574974
083101	茨城県	東茨城郡	城里町	36.479363	140.376166
083411	茨城県	那珂郡	東海村	36.472880	140.566299
083640	茨城県	久慈郡	大子町	36.768096	140.355266
084425	茨城県	稲敷郡	美浦村	36.004562	140.301914
084433	茨城県	稲敷郡	阿見町	36.030795	140.214786
084476	茨城県	稲敷郡	河内町	35.884794	140.244465
085219	茨城県	結城郡	八千代町	36.181635	139.891129
085421	茨城県	猿島郡	五霞町	36.114113	139.745832
085464	茨城県	猿島郡	境町	36.108426	139.794961
085642	茨城県	北相馬郡	利根町	35.857747	140.139148
092011	栃木県	宇都宮市		36.555112	139.882807
092029	栃木県	足利市		36.340151	139.449698
092037	栃木県	栃木市		36.382380	139.734081
092045	栃木県	佐野市		36.308578	139.593118
092053	栃木県	鹿沼市		36.567111	139.745013
092061	栃木県	日光市		36.719903	139.698216
092088	栃木県	小山市		36.314671	139.800131
092096	栃木県	真岡市		36.440419	140.013442
092100	栃木県	大田原市		36.871484	140.017419
092118	栃木県	矢板市		36.806686	139.924054
092134	栃木県	那須塩原市		36.961698	140.046066
092142	栃木県	さくら市		36.685301	139.966452
092151	栃木県	那須烏山市		36.656893	140.151426
092169	栃木県	下野市		36.387195	139.841967
093017	栃木県	河内郡	上三川町	36.439296	139.909884
093424	栃木県	芳賀郡	益子町	36.467353	140.093378
093432	栃木県	芳賀郡	茂木町	36.532120	140.187565
093441	栃木県	芳賀郡	市貝町	36.543308	140.102046
093459	栃木県	芳賀郡	芳賀町	36.548323	140.058196
093611	栃木県	下都賀郡	壬生町	36.427058	139.803932
093645	栃木県	下都賀郡	野木町	36.233251	139.740750
093840	栃木県	塩谷郡	塩谷町	36.777613	139.850570
093866	栃木県	塩谷郡	高根沢町	36.630973	139.986684
094072	栃木県	那須郡	那須町	37.019731	140.121017
094111	栃木県	那須郡	那珂川町	36.761661	140.130072
102016	群馬県	前橋市		36.389482	139.063428
102024	群馬県	高崎市		36.321909	139.003294
102032	群馬県	桐生市		36.405491	139.330688
102041	群馬県	伊勢崎市		36.311364	139.196770
102059	群馬県	太田市		36.291122	139.375471
102067	群馬県	沼田市		36.646077	139.044161
102075	群馬県	館林市		36.244849	139.541968
102083	群馬県	渋川市		36.489471	139.000448
102091	群馬県	藤岡市		36.258477	139.074439
102105	群馬県	富岡市		36.259896	138.889932
102113	群馬県	安中市		36.326368	138.887324
102121	群馬県	みどり市		36.394838	139.281135
103446	群馬県	北群馬郡	榛東村	36.438642	138.967118
103454	群馬県	北群馬郡	吉岡町	36.447501	139.009766
103667	群馬県	多野郡	上野村	36.083143	138.777376
103675	群馬県	多野郡	神流町	36.116056	138.916955
103829	群馬県	甘楽郡	下仁田町	36.212390	138.789094
103837	群馬県	甘楽郡	南牧村	36.158548	138.711406
103845	群馬県	甘楽郡	甘楽町	36.242954	138.921682
104213	群馬県	吾妻郡	中之条町	36.589893	138.840986
104248	群馬県	吾妻郡	長野原町	36.552446	138.637477
104256	群馬県	吾妻郡	嬬恋村	36.516874	138.530182
104264	群馬県	吾妻郡	草津町	36.620778	138.596053
104281	群馬県	吾妻郡	高山村	36.620887	138.943449
104299	群馬県	吾妻郡	東吾妻町	36.571347	138.825472
104434	群馬県	利根郡	片品村	36.772469	139.225243
104442	群馬県	利根郡	川場村	36.694669	139.106534
104485	群馬県	利根郡	昭和村	36.639753	139.065865
104493	群馬県	利根郡	みなかみ町	36.678700	138.999064
104647	群馬県	佐波郡	玉村町	36.304433	139.114913
105210	群馬県	邑楽郡	板倉町	36.222952	139.610271
105228	群馬県	邑楽郡	明和町	36.211300	139.534244
105236	群馬県	邑楽郡	千代田町	36.217754	139.442435
105244	群馬県	邑楽郡	大泉町	36.247902	139.404870
105252	群馬県	邑楽郡	邑楽町	36.252394	139.462286
111015	埼玉県	さいたま市	西区	35.925302	139.579472
